gender,word_count,average_sentence_length,average_word_length,total_count_punctuation,most_common_words,lexical_diversity,count_foreign_words,count_wh_words,sentiment_score,subjectivity_score,count_slang,pronoun_richness,count_VERB,count_.,"count_,",count_!,count_?,count_semi_colon,count_:,count_-,count_(,count_),count_[,count_],count_{,count_},count_<,count_>,count_/,count_\,count_|,count__,count_+,count_=,count_*,count_&,count_^,count_%,count_$,count_#,count_@,count_~,count_`,pronoun_density_I,pos_statistics_mean_count
male,267,38.142857142857146,1.0,33,recent,0.5205992509363296,267,2,0.012878787878787873,0.5007575757575758,0,0.03745318352059925,16,9,13,0,0,0,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.071428571428573
male,237,26.333333333333332,1.0,24,Daniel,0.5822784810126582,237,2,0.07046130952380952,0.5053571428571428,0,0.07172995780590717,13,9,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004219409282700422,15.8
female,171,34.2,1.0,20,article,0.5789473684210527,171,3,0.07916666666666668,0.23333333333333334,0,0.03508771929824561,18,5,9,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.4
female,172,34.4,1.0,14,Viking,0.6337209302325582,172,4,0.09309523809523809,0.3645238095238095,0,0.03488372093023256,19,4,6,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.285714285714286
female,111,22.2,1.0,9,1890,0.6756756756756757,111,3,0.31875,0.19375,0,0.05405405405405406,12,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.928571428571429
male,115,38.333333333333336,1.0,16,Oliver,0.6869565217391305,115,2,0.06022727272727273,0.32727272727272727,0,0.08695652173913043,6,3,5,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.1875
male,160,40.0,1.0,20,Published,0.65,160,0,-0.04814814814814816,0.39259259259259266,0,0.025,13,6,8,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,11.428571428571429
male,149,29.8,1.0,9,Bloodletting,0.5906040268456376,149,0,-0.0011904761904761901,0.31428571428571433,0,0.006711409395973154,16,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.642857142857142
male,107,26.75,1.0,9,seemingly,0.7757009345794392,107,3,-0.09285714285714286,0.380952380952381,0,0.06542056074766354,13,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.133333333333334
male,107,35.666666666666664,1.0,10,essay,0.7476635514018691,107,1,0.01,0.39,0,0.04672897196261682,13,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.133333333333334
